customer_id,store_name,transaction_date,aisle,product_name,quantity,unit_price,total_amount,discount_amount,final_amount,loyalty_points,unit_cost,total_cost,profit,profit_margin,year,month,month_name,quarter,day_of_week,week_number,customer_type
4657,ValuePlus Market,11/23/2023,Bread & Pastries,Onions,4,7.38,29.52,4.04,25.48,301,4.797,19.188,6.292000000000002,24.69,2023,11,November,4,Thursday,47,Firm 
2679,SuperSave Central,1/13/2025,Cookies & Sweets,Cereal,3,5.5,16.5,1.37,15.13,490,3.575,10.725000000000001,4.404999999999999,29.11,2025,1,January,1,Monday,3,Firm 
7912,Corner Grocery,8/31/2023,Dairy Products,Onions,3,25.04,75.12,1.77,73.35,316,16.276,48.828,24.52199999999999,33.43,2023,8,August,3,Thursday,35,Firm 
9928,City Fresh Store,6/27/2024,Cookies & Sweets,Salmon,2,8.67,17.34,0,17.34,126,5.6355,11.271,6.068999999999999,35,2024,6,June,2,Thursday,26,Firm 
3615,MegaMart Westside,1/30/2025,Dairy Products,Rice,4,5.58,22.32,4.05,18.27,1,3.6270000000000002,14.508000000000001,3.7619999999999987,20.59,2025,1,January,1,Thursday,5,Firm 
7924,ValuePlus Market,4/27/2024,Dairy Products,Rice,5,18.65,93.25,18.65,74.6,78,12.122499999999999,60.6125,13.987499999999997,18.75,2024,4,April,2,Saturday,17,Firm 
4527,QuickStop Market,3/22/2025,Bread & Pastries,Milk,2,26.45,52.9,3.93,48.97,484,17.1925,34.385,14.585,29.78,2025,3,March,1,Saturday,12,Firm 
2584,QuickStop Market,5/11/2024,Cookies & Sweets,Orange Juice,4,27.08,108.32,21.66,86.66,231,17.602,70.408,16.251999999999995,18.75,2024,5,May,2,Saturday,19,Firm 
6635,FamilyFood Express,11/17/2024,Dairy Products,Cereal,1,18.05,18.05,1.28,16.77,117,11.732500000000002,11.732500000000002,5.037499999999998,30.04,2024,11,November,4,Sunday,46,Firm 
5333,FreshMart Downtown,4/24/2025,Bread & Pastries,Bread,1,25.92,25.92,3.89,22.03,36,16.848000000000003,16.848000000000003,5.181999999999999,23.52,2025,4,April,2,Thursday,17,Firm 
1711,City Fresh Store,2/23/2025,Bread & Pastries,Onions,2,21.97,43.94,8.79,35.15,451,14.2805,28.561,6.588999999999999,18.75,2025,2,February,1,Sunday,8,Firm 
8527,City Fresh Store,9/26/2024,Cookies & Sweets,Yogurt,1,3.8,3.8,0.38,3.42,220,2.4699999999999998,2.4699999999999998,0.9500000000000002,27.78,2024,9,September,3,Thursday,39,Firm 
